Table with row headers in column A and column headers in rows 4 through 6.  Leading dots indicate sub-parts.,Column 2,Column 3,Column 4,Column 6,Column 7,Column 8,Column 9,Column 10
Table 366. Extreme and Mean Elevations by State and Other Areas,,,,,,,,
"[One foot = .305 meter. There are 2,130 square miles of the United States below sea level (Death Valley is the lowest point). There are 20,230 square miles above 10,000 feet (Mount McKinley is the highest point in the United States). Minus sign (-) indicates below sea level]",,,,,,,,
State and other areas,Highest point,,,Lowest point,,,Approximate mean elevation,
,Name,Elevation,,Name,Elevation,,,
,,Feet,Meters,,Feet,Meters,Feet,Meters
    United States,Mt. McKinley (AK),20320.0,6198.0,Death Valley (CA),-282.0,-86.0,2500.0,763.0
Alabama,Cheaha Mountain,2407.0,734.135,Gulf of Mexico,,,500.0,153.0
Alaska,Mount McKinley,20320.0,6198.0,Pacific Ocean,,,1900.0,580.0
Arizona,Humphreys Peak,12633.0,3853.0,Colorado River,70.0,21.0,4100.0,1251.0
Arkansas,Magazine Mountain,2753.0,840.0,Ouachita River,55.0,17.0,650.0,198.0
California,Mount Whitney,14494.0,4419.0,Death Valley,-282.0,-86.0,2900.0,885.0
Colorado,Mt. Elbert,14433.0,4402.0,Arikaree River,3315.0,1011.0749999999999,6800.0,2074.0
Connecticut,Mt. Frissell on south slope,2380.0,726.0,Long Island Sound,,,500.0,153.0
Delaware ,Ebright Road \2,448.0,136.64,Atlantic Ocean,,,60.0,18.0
District of Columbia,Tenleytown at Reno Reservoir,410.0,125.0,Potomac River,1.0,,150.0,46.0
Florida,Britton Hill,345.0,105.0,Atlantic Ocean,,,100.0,31.0
Georgia,Brasstown Bald,4784.0,1459.0,Atlantic Ocean,,,600.0,183.0
Hawaii,"Pu'u Wekiu, Mauna Kea",13796.0,4208.0,Pacific Ocean,,,3030.0,924.0
Idaho,Borah Peak,12662.0,3862.0,Snake River,710.0,217.0,5000.0,1525.0
Illinois,Charles Mound,1235.0,377.0,Mississippi River,279.0,85.0,600.0,183.0
Indiana,Hoosier Hill,1257.0,383.0,Ohio River,320.0,98.0,700.0,214.0
Iowa,Hawkeye Point,1670.0,509.0,Mississippi River,480.0,146.0,1100.0,336.0
Kansas,Mount Sunflower,4039.0,1232.0,Verdigris River,679.0,207.0,2000.0,610.0
Kentucky,Black Mountain,4145.0,1264.225,Mississippi River,257.0,78.0,750.0,229.0
Louisiana,Driskill Mountain,535.0,163.0,New Orleans,-8.0,-2.0,100.0,31.0
Maine,Mount Katahdin,5268.0,1606.74,Atlantic Ocean,,,600.0,183.0
Maryland,Hoye Crest,3360.0,1025.0,Atlantic Ocean,,,350.0,107.0
Massachusetts,Mount Greylock,3491.0,1064.7549999999999,Atlantic Ocean,,,500.0,153.0
Michigan,Mount Arvon,1979.0,604.0,Lake Erie,571.0,174.0,900.0,275.0
Minnesota,Eagle Mountain,2301.0,702.0,Lake Superior,601.0,183.0,1200.0,366.0
Mississippi,Woodall Mountain,806.0,246.0,Gulf of Mexico,,,300.0,92.0
Missouri,Taum Sauk Mountain,1772.0,540.0,St. Francis River,230.0,70.0,800.0,244.0
Montana,Granite Peak,12799.0,3904.0,Kootenai River,1800.0,549.0,3400.0,1037.0
Nebraska,Panorama Point,5424.0,1654.32,Missouri River,840.0,256.0,2600.0,793.0
Nevada,Boundary Peak,13140.0,4007.0,Colorado River,479.0,146.0,5500.0,1678.0
New Hampshire,Mount Washington,6288.0,1918.0,Atlantic Ocean,,,1000.0,305.0
New Jersey,High Point,1803.0,550.0,Atlantic Ocean,,,250.0,76.0
New Mexico,Wheeler Peak,13161.0,4014.0,Red Bluff Reservoir,2842.0,867.0,5700.0,1739.0
New York,Mount Marcy,5344.0,1630.0,Atlantic Ocean,,,1000.0,305.0
North Carolina,Mount Mitchell,6684.0,2039.0,Atlantic Ocean,,,700.0,214.0
North Dakota,White Butte,3506.0,1069.0,Red River of the North,750.0,229.0,1900.0,580.0
Ohio,Campbell Hill,1550.0,472.75,Ohio River,455.0,139.0,850.0,259.0
Oklahoma,Black Mesa,4973.0,1517.0,Little River,289.0,88.0,1300.0,397.0
Oregon,Mount Hood,11239.0,3428.0,Pacific Ocean,,,3300.0,1007.0
Pennsylvania,Mount Davis,3213.0,980.0,Delaware River,,,1100.0,336.0
Rhode Island,Jerimoth Hill,812.0,248.0,Atlantic Ocean,,,200.0,61.0
South Carolina,Sassafras Mountain,3560.0,1086.0,Atlantic Ocean,,,350.0,107.0
South Dakota,Harney Peak,7242.0,2209.0,Big Stone Lake,966.0,295.0,2200.0,671.0
Tennessee,Clingmans Dome,6643.0,2026.0,Mississippi River,178.0,54.0,900.0,275.0
Texas,Guadalupe Peak,8749.0,2668.0,Gulf of Mexico,,,1700.0,519.0
Utah,Kings Peak,13528.0,4126.0,Beaverdam Wash,2000.0,610.0,6100.0,1861.0
Vermont,Mount Mansfield,4393.0,1340.0,Lake Champlain,95.0,29.0,1000.0,305.0
Virginia,Mount Rogers,5729.0,1747.0,Atlantic Ocean,,,950.0,290.0
Washington,Mount Rainier,14411.0,4395.355,Pacific Ocean,,,1700.0,519.0
